regression,term,term_type,feature_id,paper_feature_name,feature_group,paper_expected_direction,paper_p_threshold,coef_logit,std_err,z_value,p_value,ci95_low_logit,ci95_high_logit,odds_ratio,or_ci95_low,or_ci95_high,observed_direction,direction_matches_paper,n_features_used
human_logistic_regression_clustered_by_pair,z_num_2nd_person_pronouns,feature,num_2nd_person_pronouns,#2nd person pronoun,argument_only,up,0.0001,0.05894199293363712,0.03228150920860824,1.8258747617016478,0.06786912863337387,-0.004328602481833137,0.12221258834910737,1.0607137100649975,0.9956807524151454,1.1299942998704666,up,True,40
human_logistic_regression_clustered_by_pair,z_num_links,feature,num_links,#links,argument_only,up,0.0001,0.01566234745427912,0.14010877481964504,0.1117870559816148,0.910992251020538,-0.25894580511025755,0.2902705000188158,1.015785644886199,0.7718648530408139,1.3367890405839113,up,True,40
human_logistic_regression_clustered_by_pair,z_num_negative_words,feature,num_negative_words,#negative words,argument_only,up,0.0001,0.0573127657240594,0.06550869150587314,0.8748879638195957,0.38163486869875296,-0.07108191030179693,0.1857074417499157,1.058986973432092,0.9313855989275378,1.2040699482471942,up,True,40
human_logistic_regression_clustered_by_pair,z_num_hedges,feature,num_hedges,#hedges,argument_only,up,0.0001,-0.008232178558052252,0.04736206937039731,-0.173813743096234,0.8620118433708239,-0.10106012875731861,0.08459577164121411,0.9918016130341368,0.9038786821499349,1.0882770653218536,down,False,40
human_logistic_regression_clustered_by_pair,z_num_1st_person_pronouns,feature,num_1st_person_pronouns,#1st person pronouns,argument_only,up,0.0001,0.00804208162415445,0.03200209399179447,0.2512986064667046,0.8015832524820312,-0.054680870029628355,0.07076503327793726,1.0080745060241871,0.9467872479327223,1.0733289996403925,up,True,40
human_logistic_regression_clustered_by_pair,z_num_1st_person_plural_pronouns,feature,num_1st_person_plural_pronouns,#1st person plural pronoun,argument_only,up,0.0001,0.02408261670736553,0.030910942350491532,0.7790968141410473,0.43592268668603684,-0.03650171702779176,0.08466695044252281,1.0243749448798256,0.9641564384115023,1.0883545303357556,up,True,40
human_logistic_regression_clustered_by_pair,z_num_dotcom_links,feature,num_dotcom_links,#.com links,argument_only,up,0.0001,-0.11376061001615506,0.09046850045381334,-1.2574609885816885,0.20858675680463812,-0.29107561264097476,0.06355439260866463,0.8924715790686579,0.7474591585203272,1.0656174459378742,down,False,40
human_logistic_regression_clustered_by_pair,z_frac_links,feature,frac_links,frac. links,argument_only,up,0.0001,0.1169327934368061,0.0837924605287913,1.3955049499546286,0.16286362315453273,-0.04729741137561891,0.2811629982492311,1.1240438840256586,0.9538036833370076,1.3246695051491684,up,True,40
human_logistic_regression_clustered_by_pair,z_frac_dotcom_links,feature,frac_dotcom_links,frac. .com links,argument_only,up,0.0001,0.10183404222026174,0.07320497686476345,1.391080860641302,0.1642009079782505,-0.04164507592376249,0.24531316036428596,1.1071997080745724,0.9592101669456726,1.2780214762150761,up,True,40
human_logistic_regression_clustered_by_pair,z_num_examples,feature,num_examples,#examples,argument_only,up,0.05,0.033624405670641094,0.0282932391806768,1.1884254558454825,0.23466583233958693,-0.021829324129462986,0.08907813547074517,1.0341960955824476,0.978407211303925,1.0931660680347732,up,True,40
human_logistic_regression_clustered_by_pair,z_frac_definite_articles,feature,frac_definite_articles,frac. definite articles,argument_only,up,0.05,0.023907928307086924,0.03978065290454209,0.600993864139348,0.5478440730923116,-0.05406071866730426,0.1018765752814781,1.0241960140884407,0.9473745814333706,1.1072468016690449,up,True,40
human_logistic_regression_clustered_by_pair,z_num_question_marks,feature,num_question_marks,#question marks,argument_only,up,0.05,-0.0010700458067846984,0.03191724137137164,-0.03352563570059919,0.9732554229864477,-0.06362668938054492,0.061486597766975515,0.9989305264880841,0.9383552321268626,1.063416244280986,down,False,40
human_logistic_regression_clustered_by_pair,z_num_pdf_links,feature,num_pdf_links,#PDF links,argument_only,up,0.05,0.011736975416432337,0.03321364294592426,0.35337814149268487,0.7238049706685802,-0.053360568552952035,0.0768345193858167,1.011806123979247,0.9480381181154315,1.0798633651534857,up,True,40
human_logistic_regression_clustered_by_pair,z_frac_positive_words,feature,frac_positive_words,frac. positive words,argument_only,down,0.05,-0.1313063755866044,0.05404682831465277,-2.429492713654866,0.015119968830204148,-0.23723621256194344,-0.025376538611265362,0.8769490574470923,0.7888049403738097,0.9749427393201932,down,True,40
human_logistic_regression_clustered_by_pair,z_arousal,feature,arousal,arousal,argument_only,down,0.05,-0.019676414613399765,0.02492871755872895,-0.7893071341132806,0.42993251797274934,-0.06853580320927977,0.029182973982480237,0.9805159025960154,0.9337600278993403,1.0296129696261953,down,True,40
human_logistic_regression_clustered_by_pair,z_valence,feature,valence,valence,argument_only,down,0.05,0.09001420021253417,0.04954108506197905,1.8169606115796753,0.06922314470139232,-0.007084542263980045,0.18711294268904838,1.0941898213229069,0.9929404939473107,1.2057634595272995,up,False,40
human_logistic_regression_clustered_by_pair,z_word_entropy,feature,word_entropy,word entropy,argument_only,up,0.0001,-0.01742811247093167,0.09510567609307152,-0.18324997189312148,0.854601886255185,-0.2038318123386839,0.16897558739682053,0.9827228786453728,0.8155995334305691,1.1840912318217514,down,False,40
human_logistic_regression_clustered_by_pair,z_num_sentences,feature,num_sentences,#sentences,argument_only,up,0.0001,-0.06612409271421955,0.09145322386822054,-0.7230373071320156,0.4696569640813788,-0.24536911776601067,0.11312093233757155,0.9360147044792465,0.7824156814056407,1.1197673408428888,down,False,40
human_logistic_regression_clustered_by_pair,z_type_token_ratio,feature,type_token_ratio,type-token ratio,argument_only,down,0.0001,-0.09310831835766692,0.04880353320829074,-1.9078192138320362,0.05641458653187401,-0.1887614857642213,0.0025448490488874514,0.9110948066579346,0.8279839691086281,1.0025480899258261,down,True,40
human_logistic_regression_clustered_by_pair,z_num_paragraphs,feature,num_paragraphs,#paragraphs,argument_only,up,0.0001,-0.04132512965146068,0.04407408949406826,-0.937628664048124,0.3484352754116661,-0.12770875771122964,0.04505849840830829,0.9595171117632476,0.8801096669756839,1.0460890526633897,down,False,40
human_logistic_regression_clustered_by_pair,z_num_italics,feature,num_italics,#italics,argument_only,up,0.0001,0.17603478983077492,0.06009467756880834,2.9292908615611637,0.003397363496865025,0.05825138613336352,0.29381819352818633,1.192479544090571,1.0599814268526708,1.341539980843555,up,True,40
human_logistic_regression_clustered_by_pair,z_bullet_list,feature,bullet_list,bullet list,argument_only,up,0.0001,0.06947424099142747,0.02858066980379081,2.430812205185364,0.015065020667065688,0.01345715752196603,0.12549132446088893,1.0719444486228946,1.0135481126072694,1.133705333412902,up,True,40
human_logistic_regression_clustered_by_pair,z_num_bolds,feature,num_bolds,#bolds,argument_only,up,0.01,0.061403326210736464,0.0383796462679115,1.5998929688436088,0.10962232940266965,-0.013819398213757175,0.1366260506352301,1.0633276956422375,0.986275651323508,1.146399373037915,up,True,40
human_logistic_regression_clustered_by_pair,z_numbered_words,feature,numbered_words,numbered words,argument_only,up,0.05,-0.006509372674018519,0.03069728481268343,-0.21205043748133034,0.8320676855067963,-0.06667494533004642,0.05365619998200938,0.9935117673978796,0.9354992403162572,1.0551217889010456,down,False,40
human_logistic_regression_clustered_by_pair,z_frac_italics,feature,frac_italics,frac. italics,argument_only,up,0.05,-0.05475678343876726,0.047914765055283866,-1.1427956158313435,0.2531234595037608,-0.14866799727482197,0.03915443039728744,0.9467153768130279,0.8618552056818659,1.0399310682182858,down,False,40
